,image_id,predicted_caption,bleu_1,bleu_2,bleu_3,bleu_4
0,444481722_690d0cadcf,two young men with colorful purses stand to each other,0.2,0.25112186556673066,0.25074269839893976,0.23252324097940982
1,241345844_69e1c22464,there is college player being tackled by oklahoma football player,0.3,0.18257418583505533,0.20316761950295031,0.19826396602449556
2,2148916767_644ea6a7fa,dog is running in the snow,0.8333333333333334,0.5773502691896258,0.4404232007525522,0.3463575633982254
3,3197917064_e679a44b8e,two white dogs playing in the snow,0.37225089001774603,0.2843113135035004,0.22159559444857685,0.18734304553204348
4,3350786891_6d39b234e9,three girls and one sitting on the grass,0.5,0.26726124191242434,0.2566209653962515,0.23404821161541917
5,3673165148_67f217064f,dog running on beach,0.75,0.49999999999999994,0.3582991901097116,0.2866227639866161
6,2861932486_52befd8592,man with grey hair and beard wearing jacket and backpack walking in grassy area,0.21428571428571425,0.2720828306679627,0.27042660845988903,0.2496345864141804
7,3745451546_fc8ec70cbd,two people are in the snow,0.16666666666666669,0.2096877600798238,0.21267231812058127,0.19953087735062713
8,3399284917_721aefe2a7,man is swinging on swing near some trees and river,0.2,0.14907119849998599,0.17772330320981078,0.1791517169433684
9,533483374_86c5d4c13e,dog is running on beach,0.8,0.6324555320336759,0.4315133079286245,0.3365342374760142
10,3457045393_2bbbb4e941,two girls in denim clothes are smiling and laughing,0.5555555555555556,0.4118304404985696,0.34473486280687493,0.2944706934661512
11,3285993030_87b0f1d202,two medium sized dogs play with each other,0.12500000000000003,0.19161471803153873,0.20602382063106456,0.19817632389021378
12,2374652725_32f90fa15c,two black dogs are running in the snow,0.5,0.3779644730092272,0.29129144784395894,0.2576315006206139
13,3482062809_3b694322c4,man with yellow sweater and no shirt stands on skateboard in front of park,0.21428571428571425,0.2720828306679627,0.27042660845988903,0.2496345864141804
14,375392855_54d46ed5c8,man in red jacket is laying in the background of race,0.5454545454545454,0.33028912953790823,0.3025318917473102,0.26919601287882833
15,3263497678_8bb688ca01,two people on colorful field are posing for picture,0.6666666666666666,0.28867513459481287,0.2726724253155537,0.2465400872719333
16,3310067561_b92017acab,tan dog jumps off of brick wall,0.2857142857142857,0.28291943941039627,0.26323342568591773,0.23681572145316945
17,3393343330_b13df4d8ec,man is holding his head up and is standing on busy street,0.25,0.1507556722888818,0.1813619698341781,0.183352409676239
18,3498997518_c2b16f0a0e,football player in purple uniform being tackled by another player,0.8,0.5962847939999439,0.4499038064762006,0.36208315128814295
19,3159995270_17334ccb5b,man is skiing in midair,0.26812801841425576,0.20920258810538286,0.18147825817686916,0.15846701826473467
20,747921928_48eb02aab2,man is flying with red hair at night,0.375,0.23145502494313785,0.23337930992922906,0.21780640299346554
21,2924259848_effb4dcb82,man in blue shirt and helmet is jumping in the air,0.2727272727272727,0.2973208057210449,0.282247196359345,0.25540778661907937
